Position,Player / Current club,Nation,Date of Birth,Appearance,Goals per match,Goals
1,Cristiano Ronaldo,Portugal,05.02.1985,438,1.03,450
2,Karim Benzema,France Algeria,19.12.1987,648,0.55,354
3,Raul,Spain,27.06.1977,741,0.44,323
4,Alfredo Di Stefano ,Spain Argentina,04.07.1926,380,0.77,293
5,Santillana ,Spain,23.08.1952,629,0.45,281
6,Ferenc Puskas,Hungary Spain,01.04.1927,253,0.91,230
7,Hugo Sanchez,Mexico,11.07.1958,282,0.74,208
8,Paco Gento ,Spain,21.10.1933,572,0.31,175
9,Emilio Butragueno,Spain,22.06.1963,461,0.37,170
10,Pirri ,Spain,11.03.1945,539,0.31,166