Season,Squad,Country,Comp,LgRank,MP,W,D,L,GF,GA,GD,Pts
2024-2025,Real Madrid,es ESP,1. La Liga,2nd,14,10,3,1,30,11,19,33
2023-2024,Real Madrid,es ESP,1. La Liga,1st,38,29,8,1,87,26,61,95
2022-2023,Real Madrid,es ESP,1. La Liga,2nd,38,24,6,8,75,36,39,78
2021-2022,Real Madrid,es ESP,1. La Liga,1st,38,26,8,4,80,31,49,86
2020-2021,Real Madrid,es ESP,1. La Liga,2nd,38,25,9,4,67,28,39,84
2019-2020,Real Madrid,es ESP,1. La Liga,1st,38,26,9,3,70,25,45,87
2018-2019,Real Madrid,es ESP,1. La Liga,3rd,38,21,5,12,63,46,17,68
2017-2018,Real Madrid,es ESP,1. La Liga,3rd,38,22,10,6,94,44,50,76
2016-2017,Real Madrid,es ESP,1. La Liga,1st,38,29,6,3,106,41,65,93
2015-2016,Real Madrid,es ESP,1. La Liga,2nd,38,28,6,4,110,34,76,90
2014-2015,Real Madrid,es ESP,1. La Liga,2nd,38,30,2,6,118,38,80,92
2013-2014,Real Madrid,es ESP,1. La Liga,3rd,38,27,6,5,104,38,66,87
2012-2013,Real Madrid,es ESP,1. La Liga,2nd,38,26,7,5,103,42,61,85
2011-2012,Real Madrid,es ESP,1. La Liga,1st,38,32,4,2,121,32,89,100
2010-2011,Real Madrid,es ESP,1. La Liga,2nd,38,29,5,4,102,33,69,92
2009-2010,Real Madrid,es ESP,1. La Liga,2nd,38,31,3,4,102,35,67,96
2008-2009,Real Madrid,es ESP,1. La Liga,2nd,38,25,3,10,83,52,31,78
2007-2008,Real Madrid,es ESP,1. La Liga,1st,38,27,4,7,84,36,48,85
2006-2007,Real Madrid,es ESP,1. La Liga,1st,38,23,7,8,66,40,26,76
2005-2006,Real Madrid,es ESP,1. La Liga,2nd,38,20,10,8,70,40,30,70
2004-2005,Real Madrid,es ESP,1. La Liga,2nd,38,25,5,8,71,32,39,80
2003-2004,Real Madrid,es ESP,1. La Liga,4th,38,21,7,10,72,54,18,70
2002-2003,Real Madrid,es ESP,1. La Liga,1st,38,22,12,4,86,42,44,78
2001-2002,Real Madrid,es ESP,1. La Liga,3rd,38,19,9,10,69,44,25,66
2000-2001,Real Madrid,es ESP,1. La Liga,1st,38,24,8,6,81,40,41,80