Name,Games played,Goals
Jude Bellingham,28,19
Vinícius Júnior,26,15
Rodrygo,34,10
Joselu,34,10
Brahim Díaz,31,8
Arda Güler,10,6
Dani Carvajal,28,4
Lucas Vázquez,29,3
Aurélien Tchouaméni,27,3
Federico Valverde,37,2
Luka Modric,32,2
Antonio Rüdiger,33,1
Toni Kroos,33,1
Fran García,25,1
Eduardo Camavinga,31,0
Nacho,29,0
Ferland Mendy,23,0
Andriy Lunin,21,0
Dani Ceballos,20,0
Kepa Arrizabalaga,14,0
David Alaba,14,0
Éder Militão,10,0
Thibaut Courtois,4,0
Nico Paz,4,0
Gonzalo García,2,0